disease,month,cases_domestic,annual_cases,monthly_share
A형간염,1,2271.0,42788.0,0.05307562868093858
A형간염,2,2515.0,42788.0,0.05877816210152379
A형간염,3,3771.0,42788.0,0.08813218659437225
A형간염,4,4266.0,42788.0,0.09970085070580537
A형간염,5,5053.0,42788.0,0.11809385809105356
A형간염,6,4574.0,42788.0,0.10689913059736375
A형간염,7,4475.0,42788.0,0.10458539777507712
A형간염,8,4601.0,42788.0,0.10753014863980555
A형간염,9,3806.0,42788.0,0.0889501729456857
A형간염,10,3078.0,42788.0,0.0719360568383659
A형간염,11,2250.0,42788.0,0.05258483687015051
A형간염,12,2128.0,42788.0,0.0497335701598579
말라리아,1,6.0,3709.0,0.0016176867080075492
말라리아,2,6.0,3709.0,0.0016176867080075492
말라리아,3,16.0,3709.0,0.004313831221353465
말라리아,4,124.0,3709.0,0.03343219196548935
말라리아,5,357.0,3709.0,0.09625235912644918
말라리아,6,826.0,3709.0,0.22270153680237262
말라리아,7,941.0,3709.0,0.2537071987058506
말라리아,8,678.0,3709.0,0.18279859800485307
말라리아,9,460.0,3709.0,0.1240226476139121
말라리아,10,254.0,3709.0,0.06848207063898624
말라리아,11,28.0,3709.0,0.007549204637368563
말라리아,12,13.0,3709.0,0.00350498786734969
백일해,1,191.0,2379.0,0.08028583438419504
백일해,2,146.0,2379.0,0.06137032366540563
백일해,3,102.0,2379.0,0.04287515762925599
백일해,4,87.0,2379.0,0.03656998738965952
백일해,5,116.0,2379.0,0.0487599831862127
백일해,6,151.0,2379.0,0.06347204707860446
백일해,7,259.0,2379.0,0.10886927280369903
백일해,8,261.0,2379.0,0.10970996216897856
백일해,9,195.0,2379.0,0.08196721311475409
백일해,10,243.0,2379.0,0.1021437578814628
백일해,11,319.0,2379.0,0.1340899537620849
백일해,12,309.0,2379.0,0.12988650693568726
수두,1,40988.0,411293.0,0.09965644929527126
수두,2,24199.0,411293.0,0.058836401300289574
수두,3,22456.0,411293.0,0.05459854653495197
수두,4,31849.0,411293.0,0.07743628021872485
수두,5,46951.0,411293.0,0.11415462942476531
수두,6,40085.0,411293.0,0.09746093417587948
수두,7,32950.0,411293.0,0.08011320396894671
수두,8,23096.0,411293.0,0.05615461483662498
수두,9,19944.0,411293.0,0.04849097845088538
수두,10,27839.0,411293.0,0.06768653976605486
수두,11,46612.0,411293.0,0.11333039949622288
수두,12,54324.0,411293.0,0.13208102253138274
신증후군출혈열,1,180.0,3269.0,0.05506271030896299
신증후군출혈열,2,94.0,3269.0,0.028754970939125116
신증후군출혈열,3,94.0,3269.0,0.028754970939125116
신증후군출혈열,4,129.0,3269.0,0.039461609054756805
신증후군출혈열,5,186.0,3269.0,0.05689813398592842
신증후군출혈열,6,256.0,3269.0,0.0783114102171918
신증후군출혈열,7,251.0,3269.0,0.07678189048638727
신증후군출혈열,8,212.0,3269.0,0.06485163658611195
신증후군출혈열,9,240.0,3269.0,0.07341694707861732
신증후군출혈열,10,497.0,3269.0,0.15203426124197003
신증후군출혈열,11,775.0,3269.0,0.23707555827470175
신증후군출혈열,12,355.0,3269.0,0.10859590088712144
유행성이하선염,1,6612.0,102894.0,0.0642603067234241
유행성이하선염,2,5775.0,102894.0,0.056125721616420786
유행성이하선염,3,7703.0,102894.0,0.07486345170758256
유행성이하선염,4,10088.0,102894.0,0.0980426458296888
유행성이하선염,5,12526.0,102894.0,0.12173693315450852
유행성이하선염,6,11639.0,102894.0,0.11311641106381325
유행성이하선염,7,9339.0,102894.0,0.09076330981398333
유행성이하선염,8,7478.0,102894.0,0.07267673528096877
유행성이하선염,9,7624.0,102894.0,0.07409567127334928
유행성이하선염,10,8345.0,102894.0,0.08110288257818726
유행성이하선염,11,8566.0,102894.0,0.0832507240461057
유행성이하선염,12,7199.0,102894.0,0.06996520691196766
일본뇌염,1,1.0,144.0,0.006944444444444444
일본뇌염,2,0.0,144.0,0.0
일본뇌염,3,0.0,144.0,0.0
일본뇌염,4,0.0,144.0,0.0
일본뇌염,5,0.0,144.0,0.0
일본뇌염,6,0.0,144.0,0.0
일본뇌염,7,0.0,144.0,0.0
일본뇌염,8,13.0,144.0,0.09027777777777778
일본뇌염,9,59.0,144.0,0.4097222222222222
일본뇌염,10,60.0,144.0,0.4166666666666667
일본뇌염,11,9.0,144.0,0.0625
일본뇌염,12,2.0,144.0,0.013888888888888888
쯔쯔가무시증,1,612.0,54579.0,0.011213103941076238
쯔쯔가무시증,2,341.0,54579.0,0.006247824254749995
쯔쯔가무시증,3,379.0,54579.0,0.006944062734751461
쯔쯔가무시증,4,699.0,54579.0,0.01280712361897433
쯔쯔가무시증,5,1142.0,54579.0,0.020923798530570366
쯔쯔가무시증,6,1194.0,54579.0,0.02187654592425658
쯔쯔가무시증,7,1034.0,54579.0,0.018945015482145146
쯔쯔가무시증,8,975.0,54579.0,0.017864013631616556
쯔쯔가무시증,9,1440.0,54579.0,0.026383773979002913
쯔쯔가무시증,10,12370.0,54579.0,0.2266439473057403
쯔쯔가무시증,11,30745.0,54579.0,0.5633118965169754
쯔쯔가무시증,12,3648.0,54579.0,0.06683889408014071
