year,region,sex,age_band,population
2016,전국,all,all,51112971.5
2016,전국,male,all,25527814.5
2016,전국,female,all,25585157.0
2016,서울,all,all,9811038.5
2016,서울,male,all,4818222.5
2016,서울,female,all,4992816.0
2016,부산,all,all,3467418.0
2016,부산,male,all,1710685.5
2016,부산,female,all,1756732.5
2016,대구,all,all,2466465.0
2016,대구,male,all,1224617.0
2016,대구,female,all,1241848.0
2016,인천,all,all,2905551.5
2016,인천,male,all,1456987.5
2016,인천,female,all,1448564.0
2016,광주,all,all,1461531.0
2016,광주,male,all,724095.0
2016,광주,female,all,737436.0
2016,대전,all,all,1505374.0
2016,대전,male,all,751870.0
2016,대전,female,all,753504.0
2016,울산,all,all,1166314.5
2016,울산,male,all,600516.5
2016,울산,female,all,565798.0
2016,세종,all,all,225992.0
2016,세종,male,all,113131.0
2016,세종,female,all,112861.0
2016,경기,all,all,12509483.5
2016,경기,male,all,6287016.5
2016,경기,female,all,6222467.0
2016,강원,all,all,1536275.0
2016,강원,male,all,774464.0
2016,강원,female,all,761811.0
2016,충북,all,all,1577149.0
2016,충북,male,all,795336.5
2016,충북,female,all,781812.5
2016,충남,all,all,2072713.0
2016,충남,male,all,1052056.0
2016,충남,female,all,1020657.0
2016,전북,all,all,1854771.5
2016,전북,male,all,922758.5
2016,전북,female,all,932013.0
2016,전남,all,all,1893147.0
2016,전남,male,all,946594.5
2016,전남,female,all,946552.5
2016,경북,all,all,2683477.5
2016,경북,male,all,1347875.5
2016,경북,female,all,1335602.0
2016,경남,all,all,3348251.5
2016,경남,male,all,1685946.0
2016,경남,female,all,1662305.5
2016,제주,all,all,628019.0
2016,제주,male,all,315642.0
2016,제주,female,all,312377.0
2017,전국,all,all,51230704.0
2017,전국,male,all,25576752.0
2017,전국,female,all,25653952.0
2017,서울,all,all,9724400.5
2017,서울,male,all,4767275.5
2017,서울,female,all,4957125.0
2017,부산,all,all,3445833.0
2017,부산,male,all,1697892.5
2017,부산,female,all,1747940.5
2017,대구,all,all,2460368.5
2017,대구,male,all,1220112.0
2017,대구,female,all,1240256.5
2017,인천,all,all,2916646.0
2017,인천,male,all,1461935.5
2017,인천,female,all,1454710.5
2017,광주,all,all,1457271.0
2017,광주,male,all,721903.5
2017,광주,female,all,735367.5
2017,대전,all,all,1497290.0
2017,대전,male,all,747674.5
2017,대전,female,all,749615.5
2017,울산,all,all,1162347.0
2017,울산,male,all,597958.5
2017,울산,female,all,564388.5
2017,세종,all,all,260542.0
2017,세종,male,all,130101.0
2017,세종,female,all,130441.0
2017,경기,all,all,12681347.5
2017,경기,male,all,6373767.0
2017,경기,female,all,6307580.5
2017,강원,all,all,1536689.0
2017,강원,male,all,774204.0
2017,강원,female,all,762485.0
2017,충북,all,all,1582443.5
2017,충북,male,all,798466.0
2017,충북,female,all,783977.5
2017,충남,all,all,2092354.0
2017,충남,male,all,1063069.5
2017,충남,female,all,1029284.5
2017,전북,all,all,1847460.5
2017,전북,male,all,918970.0
2017,전북,female,all,928490.5
2017,전남,all,all,1887213.0
2017,전남,male,all,944036.0
2017,전남,female,all,943177.0
2017,경북,all,all,2678112.0
2017,경북,male,all,1345875.0
2017,경북,female,all,1332237.0
2017,경남,all,all,3356330.0
2017,경남,male,all,1689301.5
2017,경남,female,all,1667028.5
2017,제주,all,all,644056.5
2017,제주,male,all,324210.0
2017,제주,female,all,319846.5
2018,전국,all,all,51300879.5
2018,전국,male,all,25601961.0
2018,전국,female,all,25698918.5
2018,서울,all,all,9642857.0
2018,서울,male,all,4717644.0
2018,서울,female,all,4925213.0
2018,부산,all,all,3418068.5
2018,부산,male,all,1681920.5
2018,부산,female,all,1736148.0
2018,대구,all,all,2449528.5
2018,대구,male,all,1213117.0
2018,대구,female,all,1236411.5
