region,disease,region_disease_cases_all,peak_month_region,seasonality_region,rq,rate_per_100k,seasonality_defined
강원,수두,10884.0,12.0,0.11916574788680633,0.8857070746520058,88.83496542280167,True
강원,말라리아,116.0,7.0,0.3017241379310345,1.0467767176962872,0.946789414649485,True
강원,유행성이하선염,3717.0,5.0,0.10438525692762982,1.2090810347125198,30.338071157345993,True
강원,백일해,20.0,1.0,0.15,0.2813769075629813,0.16323955424991118,True
강원,A형간염,844.0,7.0,0.11729857819905214,0.660196713622895,6.888709189346252,True
강원,일본뇌염,9.0,9.0,0.4444444444444444,2.0918614471635397,0.07345779941246004,True
강원,신증후군출혈열,169.0,7.0,0.1893491124260355,1.7303130477608477,1.3793742334117496,True
강원,쯔쯔가무시증,349.0,11.0,0.3868194842406877,0.21401920740506797,2.8485302216609503,True
경기,수두,115068.0,12.0,0.13410331282372162,1.0950886406050726,109.83559272265795,True
경기,말라리아,2225.0,7.0,0.24808988764044942,2.3481141704858537,2.123824119719765,True
경기,유행성이하선염,28301.0,5.0,0.1251192537366171,1.0766083853559114,27.014088275141155,True
경기,백일해,363.0,12.0,0.12121212121212122,0.5972528220004679,0.34649355301495494,True
경기,A형간염,13553.0,5.0,0.12329373570427211,1.2398224003450933,12.936713840252574,True
경기,일본뇌염,36.0,10.0,0.5277777777777778,0.9785567930710148,0.034362996993218674,True
경기,신증후군출혈열,538.0,11.0,0.16171003717472118,0.6441891155365017,0.513535899509768,True
경기,쯔쯔가무시증,3806.0,11.0,0.5173410404624278,0.27295385803538225,3.6329324043386184,True
경남,수두,36821.0,12.0,0.13880665924336655,1.3804390409633005,138.455769386783,True
경남,말라리아,36.0,6.0,0.3055555555555556,0.14966444508608442,0.1353686129633684,True
경남,유행성이하선염,9868.0,5.0,0.11714633157681395,1.4788089230724137,37.106040908958875,True
경남,백일해,568.0,11.0,0.20246478873239437,3.681517472749931,2.135815893422035,True
경남,A형간염,839.0,3.0,0.1430274135876043,0.30235206983368706,3.1548407298962804,True
경남,일본뇌염,5.0,9.0,0.8,0.5354026107487337,0.018801196244912277,True
경남,신증후군출혈열,276.0,11.0,0.38768115942028986,1.301868544606771,1.0378260327191577,True
경남,쯔쯔가무시증,11328.0,11.0,0.5919844632768362,3.20037329938943,42.59599021247326,True
경북,수두,22348.0,12.0,0.13262931805978165,1.0559572076962733,105.91077424837437,True
경북,말라리아,31.0,7.0,0.3225806451612903,0.16242909883789416,0.14691399685428697,True
