year,age_band,sex,disease_class,disease,cases,source_file
2016,all,all,제2급,수두,54060,2016_기본통계_성별_연령별.xlsx
2016,all,male,제2급,수두,28735,2016_기본통계_성별_연령별.xlsx
2016,all,female,제2급,수두,25325,2016_기본통계_성별_연령별.xlsx
2016,0~4세,all,제2급,수두,16289,2016_기본통계_성별_연령별.xlsx
2016,0~4세,male,제2급,수두,8624,2016_기본통계_성별_연령별.xlsx
2016,0~4세,female,제2급,수두,7665,2016_기본통계_성별_연령별.xlsx
2016,5~9세,all,제2급,수두,26918,2016_기본통계_성별_연령별.xlsx
2016,5~9세,male,제2급,수두,14427,2016_기본통계_성별_연령별.xlsx
2016,5~9세,female,제2급,수두,12491,2016_기본통계_성별_연령별.xlsx
2016,10~14세,all,제2급,수두,6948,2016_기본통계_성별_연령별.xlsx
2016,10~14세,male,제2급,수두,3710,2016_기본통계_성별_연령별.xlsx
2016,10~14세,female,제2급,수두,3238,2016_기본통계_성별_연령별.xlsx
2016,15~19세,all,제2급,수두,989,2016_기본통계_성별_연령별.xlsx
2016,15~19세,male,제2급,수두,595,2016_기본통계_성별_연령별.xlsx
2016,15~19세,female,제2급,수두,394,2016_기본통계_성별_연령별.xlsx
2016,20~24세,all,제2급,수두,824,2016_기본통계_성별_연령별.xlsx
2016,20~24세,male,제2급,수두,416,2016_기본통계_성별_연령별.xlsx
2016,20~24세,female,제2급,수두,408,2016_기본통계_성별_연령별.xlsx
2016,25~29세,all,제2급,수두,535,2016_기본통계_성별_연령별.xlsx
2016,25~29세,male,제2급,수두,228,2016_기본통계_성별_연령별.xlsx
2016,25~29세,female,제2급,수두,307,2016_기본통계_성별_연령별.xlsx
2016,30~34세,all,제2급,수두,430,2016_기본통계_성별_연령별.xlsx
2016,30~34세,male,제2급,수두,173,2016_기본통계_성별_연령별.xlsx
2016,30~34세,female,제2급,수두,257,2016_기본통계_성별_연령별.xlsx
2016,35~39세,all,제2급,수두,405,2016_기본통계_성별_연령별.xlsx
2016,35~39세,male,제2급,수두,173,2016_기본통계_성별_연령별.xlsx
2016,35~39세,female,제2급,수두,232,2016_기본통계_성별_연령별.xlsx
2016,40~44세,all,제2급,수두,251,2016_기본통계_성별_연령별.xlsx
2016,40~44세,male,제2급,수두,147,2016_기본통계_성별_연령별.xlsx
2016,40~44세,female,제2급,수두,104,2016_기본통계_성별_연령별.xlsx
2016,45~49세,all,제2급,수두,129,2016_기본통계_성별_연령별.xlsx
2016,45~49세,male,제2급,수두,70,2016_기본통계_성별_연령별.xlsx
