document_id,title,source_path,source_org,source_type,authority_level,effective_status,effective_date,retrieved_at,checksum,file_type,page_count,char_count,replacement_chars,use_for_rag,exclusion_reason
4aac519b18674b,(26년5월_수정발간)2026년도 바이러스 간염 관리지침(전자용),C:\Users\user\Documents\AI 활용 경진대회\RAG_document\(26년5월_수정발간)2026년도 바이러스 간염 관리지침(전자용).pdf,질병관리청,guideline,A,current,2026,2026-07-02,6d49c136bb3934ab14aa99a12320d265f06ff1c2c91abe0c0f6d8f6e95bde5c1,pdf,306,251678,0,True,
affac0525896dd,(6.16.수정)2026년 국가예방접종 지침(의료기관용)_단면,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\(6.16.수정)2026년 국가예방접종 지침(의료기관용)_단면.pdf,질병관리청,guideline,A,current,2026,2026-07-02,e8bdb47f1a3fceaadcf9c9d3565a06b2cdefa1b781f677544171ac11178d4900,pdf,296,288682,0,True,
39b3644ce45b26,법령 _ 본문 _ 군보건의료에 관한 법률 시행령,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\0702\법령 _ 본문 _ 군보건의료에 관한 법률 시행령.md,국방부·국가법령정보센터,law,A,current,2026,2026-07-02,3fd43d74169ca7fe11036072c84272c97fa0e4eabc7e3ac7ea173407a08c2922,md,0,19304,0,True,
0f0428b36d0d65,법령 _ 본문 _ 군보건의료에 관한 법률,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\0702\법령 _ 본문 _ 군보건의료에 관한 법률.md,국방부·국가법령정보센터,law,A,current,2026,2026-07-02,6549ba3eee7c9ec04ec9e4145a38216c8bd90cce833b7502150028eb9eebbe9b,md,0,12323,0,True,
f9e7ba75901963,본인부담률 및 부담액 _ 건강보험 본인부담기준 안내 _ 본인부담기준 _ 제도·정책 _ 건강보험심사평가원,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\0702\본인부담률 및 부담액 _ 건강보험 본인부담기준 안내 _ 본인부담기준 _ 제도·정책 _ 건강보험심사평가원.md,건강보험심사평가원,public_guidance,B,current,2026,2026-07-02,0c92f6cf54e19169253df17486bb06c7265f43f8c9f1fda5875786a56a888d1c,md,0,2067,0,True,
0e9fea6f604576,진료비 확인 _ 조회·신청 _ 건강보험심사평가원,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\0702\진료비 확인 _ 조회·신청 _ 건강보험심사평가원.md,건강보험심사평가원,public_guidance,B,current,2026,2026-07-02,7facde9871082ec7ca4875ce8992952437d994f59f89a74e239e342894b963cd,md,0,3095,0,True,
2eb57151b5134d,행정규칙 _ 공무상요양비 업무 훈령,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\0702\행정규칙 _ 공무상요양비 업무 훈령.md,국방부·국가법령정보센터,directive,A,current,2026,2026-07-02,b6397e7119e2fa7b474156b3ff9defb6aee6bd6bf75678805bf40b6e662c7dc4,md,0,7920,0,True,
e2f0997f145b91,행정규칙 _ 국방 환자관리 훈령,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\0702\행정규칙 _ 국방 환자관리 훈령.md,국방부·국가법령정보센터,directive,A,current,2026,2026-07-02,32c9234fe9dabf83bcdaf5edce1aa9a303c5d891aa74ab5a0b4e34369cfa2e09,md,0,46397,0,True,
941f087f2de3b3,행정규칙 _ 민간위탁진료 업무 훈령,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\0702\행정규칙 _ 민간위탁진료 업무 훈령.md,국방부·국가법령정보센터,directive,A,current,2026,2026-07-02,ea8cc210c44abc2ae354702a4a236dfb1c8705c5ef806f8356824530c1b1e91d,md,0,12691,0,True,
20b2236e6c3f57,행정규칙 _ 장병 진료목적의 청원휴가 등에 관한 훈령,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\0702\행정규칙 _ 장병 진료목적의 청원휴가 등에 관한 훈령.md,국방부·국가법령정보센터,directive,A,current,2026,2026-07-02,1ffe67926bd9851938abdb6894a7ca3d0eca32221603170828ea6d7f3bfad145,md,0,11870,0,True,
