question_id,question,expected_disease,expected_intent,disease_hit_at_5,intent_hit_at_5,recall_pass,historical_violation,top_titles,top_scores
Q001,수두 예방접종 대상과 접종 확인 방법은?,수두,prevention,1,1,1,0,2026년도 예방접종 대상 감염병 관리 지침_최종 | 수두_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기 | 2026년도 예방접종 대상 감염병 관리 지침_최종 | 수두_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기 | 2026년도 예방접종 대상 감염병 관리 지침_최종,0.9460 | 0.9429 | 0.9073 | 0.8914 | 0.8796
Q002,수두 감염을 피하기 위한 노출 예방수칙은?,수두,prevention,1,1,1,0,수두_질병관리청_국가건강정보포털 | 2026년도 감염병 관리 사업 안내(최종) | 수두_질병관리청_국가건강정보포털 | 2026년도 예방접종 대상 감염병 관리 지침_최종 | 2026년도 예방접종 대상 감염병 관리 지침_최종,0.9412 | 0.8892 | 0.8435 | 0.7626 | 0.7203
Q003,수두의 주요 증상과 조기 진료가 필요한 시점은?,수두,symptom_response,1,1,1,0,수두_질병관리청_국가건강정보포털 | 2026년도 예방접종 대상 감염병 관리 지침_최종 | 수두_질병관리청_국가건강정보포털 | 2026년도 예방접종 대상 감염병 관리 지침_최종 | 수두_질병관리청_국가건강정보포털,0.6352 | 0.6160 | 0.6096 | 0.6053 | 0.5814
Q004,수두가 많이 발생하는 지역이나 계절은?,수두,risk_explanation,1,1,1,0,수두_질병관리청_국가건강정보포털 | 2026년도 예방접종 대상 감염병 관리 지침_최종 | 2026년도 예방접종 대상 감염병 관리 지침_최종 | 2026년도 예방접종 대상 감염병 관리 지침_최종 | 수두_질병관리청_국가건강정보포털,0.8308 | 0.7542 | 0.6968 | 0.6240 | 0.5907
Q005,군 복무 중 수두가 의심되면 어디에 보고하고 진료받나요?,수두,military_care,1,1,1,0,수두_질병관리청_국가건강정보포털 | 2026년도 예방접종 대상 감염병 관리 지침_최종 | 2026년도 예방접종 대상 감염병 관리 지침_최종 | 행정규칙 _ 국방 환자관리 훈령 | 2026년도 예방접종 대상 감염병 관리 지침_최종,0.7838 | 0.6713 | 0.5998 | 0.5711 | 0.5184
Q006,말라리아 예방접종 대상과 접종 확인 방법은?,말라리아,prevention,1,1,1,0,2026년도 말라리아 관리지침(수정) | 2026년도 말라리아 관리지침(수정) | 2026년도 말라리아 관리지침(수정) | 2026년도 말라리아 관리지침(수정) | 2026년도 말라리아 관리지침(수정),0.9990 | 0.8457 | 0.8337 | 0.8317 | 0.8284
Q007,말라리아 감염을 피하기 위한 노출 예방수칙은?,말라리아,prevention,1,1,1,0,2026년도 말라리아 관리지침(수정) | 말라리아감염병관리 | 2026년도 말라리아 관리지침(수정) | 2026년도 말라리아 관리지침(수정) | 2026년도 말라리아 관리지침(수정),1.0711 | 0.9966 | 0.9077 | 0.9072 | 0.8657
Q008,말라리아의 주요 증상과 조기 진료가 필요한 시점은?,말라리아,symptom_response,1,1,1,0,말라리아_질병관리청_국가건강정보포털 | 2026년도 말라리아 관리지침(수정) | 말라리아감염병관리 | 2026년도 말라리아 관리지침(수정) | 2026년도 말라리아 관리지침(수정),0.9827 | 0.8873 | 0.8770 | 0.7140 | 0.6911
Q009,말라리아가 많이 발생하는 지역이나 계절은?,말라리아,risk_explanation,1,1,1,0,말라리아_질병관리청_국가건강정보포털 | 말라리아_질병관리청_국가건강정보포털 | 말라리아감염병관리 | 2026년도 말라리아 관리지침(수정) | 2026년도 말라리아 관리지침(수정),0.9828 | 0.9816 | 0.9590 | 0.8987 | 0.8042
Q010,군 복무 중 말라리아가 의심되면 어디에 보고하고 진료받나요?,말라리아,military_care,1,1,1,0,2026년도 말라리아 관리지침(수정) | 2026년도 말라리아 관리지침(수정) | 2026년도 말라리아 관리지침(수정) | 말라리아_질병관리청_국가건강정보포털 | 전국 말라리아 주의보 발령(6.22.월),0.7679 | 0.7578 | 0.7524 | 0.6823 | 0.6683
